failure_id,module,severity,coverage_drop,frequency,recurrence,fix_time,log_message,priority
FAIL_00166,memory_controller,error,4,4,1,5,Memory controller timing constraint violation observed in burst access,2
FAIL_00167,pcie,error,6,5,2,1,PCIe TLP header mismatch detected by protocol monitor,2
FAIL_00168,pipeline_controller,warning,4,6,1,3,Pipeline stall signal deasserted too early during hazard condition,3
FAIL_00169,dma,error,10,7,2,2,DMA descriptor fetch returned misaligned address in transfer path,2
FAIL_00170,branch_predictor,fatal,12,7,5,5,Branch predictor produced incorrect target for speculative branch,1
FAIL_00171,pipeline_controller,fatal,14,7,4,3,Pipeline controller commit ordering mismatch observed in regression,1
FAIL_00172,dma,warning,2,1,0,2,DMA burst transfer count mismatched expected payload length,3
FAIL_00173,pipeline_controller,error,6,5,5,4,Pipeline stall signal deasserted too early during hazard condition,2
FAIL_00174,cache_controller,warning,0,2,3,1,Cache dirty line writeback ordering failed scoreboard comparison,3
FAIL_00175,interrupt_controller,warning,0,3,0,1,Interrupt controller dropped pending interrupt during nested service,3
FAIL_00176,memory_controller,error,8,2,3,4,Memory controller returned stale read data after refresh window,2
FAIL_00177,interrupt_controller,warning,7,5,2,2,Interrupt controller acknowledge sequence timed out in verification run,3
FAIL_00178,uart,error,5,6,3,4,UART baud generator drift exceeded acceptable tolerance in simulation,2
FAIL_00179,interrupt_controller,fatal,12,8,3,3,Interrupt priority encoder produced incorrect winner on simultaneous request,1
FAIL_00180,branch_predictor,warning,0,4,1,3,Branch predictor produced incorrect target for speculative branch,3
FAIL_00181,dram_interface,error,6,9,1,3,DRAM interface calibration failed during initialization sequence,2
FAIL_00182,uart,error,7,6,3,4,UART framing error observed under back-to-back packet transmission,2
FAIL_00183,pcie,error,10,8,2,3,PCIe TLP header mismatch detected by protocol monitor,2
FAIL_00184,uart,error,10,3,5,4,UART framing error observed under back-to-back packet transmission,2
FAIL_00185,dma,fatal,15,7,3,4,DMA burst transfer count mismatched expected payload length,1
FAIL_00186,dma,error,1,9,4,5,DMA completion interrupt was not asserted after block copy,2
FAIL_00187,dram_interface,fatal,12,7,3,3,DRAM interface command queue underflow hit during stress test,1
FAIL_00188,pcie,warning,4,7,3,3,PCIe TLP header mismatch detected by protocol monitor,3
FAIL_00189,pipeline_controller,error,7,4,5,3,Pipeline controller failed to flush dependent instructions on exception,2
FAIL_00190,uart,fatal,11,9,5,5,UART framing error observed under back-to-back packet transmission,1
FAIL_00191,memory_controller,warning,1,2,0,2,Memory controller timing constraint violation observed in burst access,3
FAIL_00192,interrupt_controller,warning,5,4,2,2,Interrupt priority encoder produced incorrect winner on simultaneous request,3
FAIL_00193,cache_controller,error,3,3,2,2,Cache controller reported coherence state violation during eviction sequence,2
FAIL_00194,pcie,error,10,6,3,4,PCIe link training failed to reach expected LTSSM state,2
FAIL_00195,interrupt_controller,error,4,8,5,3,Interrupt controller dropped pending interrupt during nested service,2
FAIL_00196,branch_predictor,warning,2,3,0,1,Branch predictor produced incorrect target for speculative branch,3
FAIL_00197,branch_predictor,fatal,13,7,4,3,Branch predictor produced incorrect target for speculative branch,1
FAIL_00198,alu,error,4,7,2,3,ALU opcode decode produced unexpected result on signed multiply path,2
FAIL_00199,pcie,error,8,3,5,3,PCIe completion timeout observed for posted transaction replay,2
FAIL_00200,cache_controller,error,4,5,3,5,Cache dirty line writeback ordering failed scoreboard comparison,2
FAIL_00201,memory_controller,error,6,5,1,5,Memory controller timing constraint violation observed in burst access,2
FAIL_00202,dma,fatal,11,7,3,4,DMA completion interrupt was not asserted after block copy,1
FAIL_00203,memory_controller,warning,5,1,0,1,Memory controller timing constraint violation observed in burst access,3
FAIL_00204,dma,error,10,6,4,3,DMA completion interrupt was not asserted after block copy,2
FAIL_00205,uart,error,8,7,3,3,UART baud generator drift exceeded acceptable tolerance in simulation,2
FAIL_00206,pipeline_controller,fatal,9,10,5,5,Pipeline controller failed to flush dependent instructions on exception,1
FAIL_00207,memory_controller,warning,4,1,2,3,Memory controller arbitration granted illegal transaction ordering,3
FAIL_00208,dram_interface,warning,3,6,1,3,DRAM interface command queue underflow hit during stress test,3
FAIL_00209,uart,error,5,9,1,3,UART RX FIFO overflow triggered mismatch in serial regression,2
FAIL_00210,interrupt_controller,warning,1,4,0,3,Interrupt controller dropped pending interrupt during nested service,3
FAIL_00211,uart,warning,4,5,0,1,UART baud generator drift exceeded acceptable tolerance in simulation,3
FAIL_00212,cache_controller,warning,2,4,2,2,Cache refill handshake timed out while servicing L2 miss,3
FAIL_00213,pipeline_controller,fatal,5,9,4,5,Pipeline stall signal deasserted too early during hazard condition,1
FAIL_00214,alu,error,5,7,3,3,ALU overflow mismatch detected during randomized arithmetic regression,2
FAIL_00215,alu,error,11,8,3,3,ALU overflow mismatch detected during randomized arithmetic regression,2
FAIL_00216,pcie,warning,0,5,1,1,PCIe TLP header mismatch detected by protocol monitor,3
FAIL_00217,alu,warning,5,4,3,4,ALU result mismatch against reference model at execute stage,3
FAIL_00218,pipeline_controller,error,7,5,4,4,Pipeline controller commit ordering mismatch observed in regression,2
FAIL_00219,interrupt_controller,error,12,9,3,3,Interrupt controller acknowledge sequence timed out in verification run,2
FAIL_00220,interrupt_controller,error,9,8,2,3,Interrupt priority encoder produced incorrect winner on simultaneous request,2
FAIL_00221,memory_controller,warning,9,7,2,2,Memory controller timing constraint violation observed in burst access,3
FAIL_00222,pipeline_controller,error,4,7,1,1,Pipeline stall signal deasserted too early during hazard condition,2
FAIL_00223,alu,error,9,7,3,3,ALU result mismatch against reference model at execute stage,2
FAIL_00224,dram_interface,fatal,10,9,3,3,DRAM interface read leveling mismatch flagged by checker,1
FAIL_00225,branch_predictor,warning,1,4,2,3,Branch history table update diverged from golden model,3
FAIL_00226,alu,error,9,6,5,4,ALU result mismatch against reference model at execute stage,2
FAIL_00227,dma,warning,1,4,1,1,DMA completion interrupt was not asserted after block copy,3
FAIL_00228,alu,warning,2,5,0,3,ALU result mismatch against reference model at execute stage,3
FAIL_00229,branch_predictor,warning,0,8,0,2,Branch predictor accuracy dropped below threshold in loop stress test,3
FAIL_00230,pcie,warning,3,3,0,1,PCIe TLP header mismatch detected by protocol monitor,3
FAIL_00231,pcie,error,11,7,2,4,PCIe completion timeout observed for posted transaction replay,2
FAIL_00232,memory_controller,warning,3,4,2,1,Memory controller arbitration granted illegal transaction ordering,3
FAIL_00233,pcie,warning,3,3,0,1,PCIe TLP header mismatch detected by protocol monitor,3
FAIL_00234,memory_controller,warning,5,6,1,2,Memory controller returned stale read data after refresh window,3
FAIL_00235,uart,warning,1,5,0,1,UART baud generator drift exceeded acceptable tolerance in simulation,3
FAIL_00236,branch_predictor,warning,0,6,0,2,Branch history table update diverged from golden model,3
FAIL_00237,dram_interface,warning,3,5,1,1,DRAM interface command queue underflow hit during stress test,3
FAIL_00238,pipeline_controller,fatal,12,6,4,5,Pipeline controller commit ordering mismatch observed in regression,1
FAIL_00239,branch_predictor,error,8,7,4,4,Branch predictor produced incorrect target for speculative branch,2
FAIL_00240,dram_interface,warning,2,2,1,3,DRAM interface calibration failed during initialization sequence,3
FAIL_00241,memory_controller,warning,2,4,1,2,Memory controller arbitration granted illegal transaction ordering,3
FAIL_00242,alu,error,4,5,4,3,ALU overflow mismatch detected during randomized arithmetic regression,2
FAIL_00243,cache_controller,error,12,6,1,3,Cache dirty line writeback ordering failed scoreboard comparison,2
FAIL_00244,cache_controller,fatal,11,9,3,4,Cache controller reported coherence state violation during eviction sequence,1
FAIL_00245,pipeline_controller,warning,6,9,0,3,Pipeline controller failed to flush dependent instructions on exception,3
FAIL_00246,cache_controller,error,6,7,4,3,Cache dirty line writeback ordering failed scoreboard comparison,2
FAIL_00247,pcie,warning,3,7,0,2,PCIe completion timeout observed for posted transaction replay,3
FAIL_00248,interrupt_controller,error,5,6,4,3,Interrupt controller acknowledge sequence timed out in verification run,2
FAIL_00249,interrupt_controller,warning,0,2,0,1,Interrupt controller dropped pending interrupt during nested service,3
FAIL_00250,cache_controller,fatal,9,6,3,3,Cache refill handshake timed out while servicing L2 miss,1
FAIL_00251,interrupt_controller,warning,0,4,0,4,Interrupt priority encoder produced incorrect winner on simultaneous request,3
FAIL_00252,uart,warning,2,2,1,2,UART RX FIFO overflow triggered mismatch in serial regression,3
FAIL_00253,dma,error,8,9,2,4,DMA burst transfer count mismatched expected payload length,2
FAIL_00254,dram_interface,warning,5,5,0,2,DRAM interface command queue underflow hit during stress test,3
FAIL_00255,cache_controller,error,7,7,3,4,Cache dirty line writeback ordering failed scoreboard comparison,2
FAIL_00256,dma,error,8,5,2,4,DMA completion interrupt was not asserted after block copy,2
FAIL_00257,uart,warning,0,4,0,2,UART framing error observed under back-to-back packet transmission,3
FAIL_00258,cache_controller,warning,0,4,1,3,Cache controller reported coherence state violation during eviction sequence,3
FAIL_00259,pcie,error,10,4,1,3,PCIe link training failed to reach expected LTSSM state,2
FAIL_00260,dma,fatal,11,9,4,4,DMA descriptor fetch returned misaligned address in transfer path,1
FAIL_00261,interrupt_controller,error,5,7,2,4,Interrupt controller acknowledge sequence timed out in verification run,2
FAIL_00262,pcie,warning,1,2,1,2,PCIe completion timeout observed for posted transaction replay,3
FAIL_00263,dram_interface,error,6,7,2,2,DRAM interface calibration failed during initialization sequence,2
FAIL_00264,alu,fatal,10,5,3,4,ALU result mismatch against reference model at execute stage,1
FAIL_00265,memory_controller,error,6,5,5,3,Memory controller arbitration granted illegal transaction ordering,2
FAIL_00266,interrupt_controller,error,9,4,3,2,Interrupt controller dropped pending interrupt during nested service,2
FAIL_00267,dram_interface,error,9,7,2,5,DRAM interface read leveling mismatch flagged by checker,2
FAIL_00268,alu,error,7,9,5,3,ALU overflow mismatch detected during randomized arithmetic regression,2
FAIL_00269,alu,error,9,8,1,2,ALU overflow mismatch detected during randomized arithmetic regression,2
FAIL_00270,uart,fatal,12,8,5,4,UART framing error observed under back-to-back packet transmission,1
FAIL_00271,dma,warning,0,6,3,1,DMA burst transfer count mismatched expected payload length,3
FAIL_00272,alu,warning,0,4,2,2,ALU opcode decode produced unexpected result on signed multiply path,3
FAIL_00273,dram_interface,warning,0,5,0,2,DRAM interface read leveling mismatch flagged by checker,3
FAIL_00274,pcie,warning,4,5,0,2,PCIe completion timeout observed for posted transaction replay,3
FAIL_00275,pcie,warning,2,2,0,2,PCIe TLP header mismatch detected by protocol monitor,3
FAIL_00276,pcie,error,4,5,4,2,PCIe completion timeout observed for posted transaction replay,2
FAIL_00277,memory_controller,error,6,9,2,4,Memory controller arbitration granted illegal transaction ordering,2
FAIL_00278,branch_predictor,error,8,5,2,3,Branch predictor produced incorrect target for speculative branch,2
FAIL_00279,interrupt_controller,warning,3,5,2,2,Interrupt controller dropped pending interrupt during nested service,3
FAIL_00280,alu,fatal,10,9,4,4,ALU result mismatch against reference model at execute stage,1
FAIL_00281,memory_controller,error,13,4,2,3,Memory controller arbitration granted illegal transaction ordering,2
FAIL_00282,dram_interface,error,12,7,2,2,DRAM interface read leveling mismatch flagged by checker,2
FAIL_00283,alu,warning,5,8,2,4,ALU opcode decode produced unexpected result on signed multiply path,3
FAIL_00284,branch_predictor,error,7,2,3,3,Branch history table update diverged from golden model,2
FAIL_00285,interrupt_controller,warning,5,3,0,2,Interrupt controller acknowledge sequence timed out in verification run,3
FAIL_00286,branch_predictor,warning,5,6,1,4,Branch history table update diverged from golden model,3
FAIL_00287,memory_controller,warning,1,1,2,2,Memory controller arbitration granted illegal transaction ordering,3
FAIL_00288,interrupt_controller,warning,4,7,0,1,Interrupt priority encoder produced incorrect winner on simultaneous request,3
FAIL_00289,pipeline_controller,error,6,7,4,3,Pipeline controller failed to flush dependent instructions on exception,2
FAIL_00290,alu,error,7,9,4,3,ALU result mismatch against reference model at execute stage,2
FAIL_00291,interrupt_controller,fatal,9,6,4,4,Interrupt priority encoder produced incorrect winner on simultaneous request,1
FAIL_00292,memory_controller,error,1,6,3,2,Memory controller returned stale read data after refresh window,2
FAIL_00293,pcie,error,8,10,2,3,PCIe TLP header mismatch detected by protocol monitor,2
FAIL_00294,dram_interface,error,4,5,1,3,DRAM interface calibration failed during initialization sequence,2
FAIL_00295,uart,warning,0,2,0,2,UART RX FIFO overflow triggered mismatch in serial regression,3
FAIL_00296,cache_controller,warning,7,6,2,2,Cache dirty line writeback ordering failed scoreboard comparison,3
