failure_id,module,severity,coverage_drop,frequency,recurrence,fix_time,log_message,priority
48,memory_controller,error,1,2,5,4,Buffer overflow detected in memory_controller,Low
49,interrupt_controller,warning,11,1,1,4,Cache coherency violation in interrupt_controller,Low
50,alu,warning,10,2,1,3,Pipeline hazard detected in alu,Low
51,dma,fatal,14,10,2,5,Protocol violation detected in dma,High
52,dram_interface,fatal,7,7,1,5,Cache coherency violation in dram_interface,Low
53,pcie,fatal,1,6,4,2,Branch misprediction detected in pcie,Low
54,dma,warning,11,7,2,3,Invalid memory access violation in dma,Low
55,uart,error,10,5,1,4,Protocol violation detected in uart,Medium
56,dram_interface,error,2,4,4,3,Cache coherency violation in dram_interface,Low
57,pcie,error,9,7,3,1,Buffer overflow detected in pcie,Medium
58,dma,error,5,3,1,3,DMA transfer error in dma,Medium
59,cache_controller,warning,7,5,2,3,Assertion failure detected in cache_controller,Low
60,dram_interface,fatal,7,3,4,1,Branch misprediction detected in dram_interface,Low
61,uart,warning,14,3,0,3,Invalid memory access violation in uart,Low
62,memory_controller,fatal,10,3,5,3,Branch misprediction detected in memory_controller,High
63,alu,warning,7,5,5,4,Assertion failure detected in alu,Low
64,cache_controller,error,2,2,2,1,Assertion failure detected in cache_controller,Low
65,pcie,warning,11,8,4,4,DMA transfer error in pcie,Low
66,dma,error,14,9,0,2,Invalid memory access violation in dma,Medium
67,cache_controller,warning,4,7,5,3,Branch misprediction detected in cache_controller,Low
68,dma,error,8,5,4,3,Branch misprediction detected in dma,Medium
69,memory_controller,error,6,4,1,1,Pipeline hazard detected in memory_controller,Medium
70,branch_predictor,fatal,10,6,4,1,Cache coherency violation in branch_predictor,High
71,pcie,error,12,2,4,3,Cache coherency violation in pcie,Medium
72,alu,fatal,5,4,0,5,DMA transfer error in alu,Low
73,memory_controller,error,1,10,0,5,DMA transfer error in memory_controller,Low
74,uart,error,0,9,4,4,Buffer overflow detected in uart,Low
75,memory_controller,fatal,7,5,4,5,Assertion failure detected in memory_controller,Low
76,dram_interface,error,4,3,1,2,Pipeline hazard detected in dram_interface,Low
77,pipeline_controller,error,13,10,0,3,Branch misprediction detected in pipeline_controller,Medium
78,branch_predictor,warning,5,4,4,2,Protocol violation detected in branch_predictor,Low
79,interrupt_controller,warning,6,6,2,2,Invalid memory access violation in interrupt_controller,Low
80,branch_predictor,warning,10,5,4,5,DMA transfer error in branch_predictor,Low
81,uart,error,5,9,5,2,Branch misprediction detected in uart,Medium
82,cache_controller,fatal,7,10,4,5,Buffer overflow detected in cache_controller,Low
83,memory_controller,error,13,1,2,1,Assertion failure detected in memory_controller,Medium
84,memory_controller,fatal,15,8,5,5,Invalid memory access violation in memory_controller,High
85,uart,warning,12,10,4,2,Invalid memory access violation in uart,Low
86,alu,fatal,12,6,2,1,Assertion failure detected in alu,High
87,dma,error,9,9,3,5,Branch misprediction detected in dma,Medium
88,branch_predictor,warning,9,8,0,4,Protocol violation detected in branch_predictor,Low
89,alu,error,14,6,3,2,Invalid memory access violation in alu,Medium
90,cache_controller,warning,0,8,3,3,Cache coherency violation in cache_controller,Low
91,dma,error,6,10,1,4,Branch misprediction detected in dma,Medium
92,pipeline_controller,error,1,6,3,4,Buffer overflow detected in pipeline_controller,Low
93,memory_controller,error,13,2,5,5,Protocol violation detected in memory_controller,Medium
94,interrupt_controller,error,5,4,4,4,Assertion failure detected in interrupt_controller,Medium
95,uart,fatal,9,6,4,2,Branch misprediction detected in uart,High
96,interrupt_controller,warning,6,2,5,1,Branch misprediction detected in interrupt_controller,Low
97,dram_interface,warning,13,4,1,4,Cache coherency violation in dram_interface,Low
98,interrupt_controller,warning,4,5,1,3,Branch misprediction detected in interrupt_controller,Low
99,cache_controller,error,9,2,1,4,DMA transfer error in cache_controller,Medium
100,branch_predictor,error,9,6,3,1,Invalid memory access violation in branch_predictor,Medium
101,dram_interface,warning,12,9,5,3,Cache coherency violation in dram_interface,Low
102,pcie,error,11,2,5,2,Cache coherency violation in pcie,Medium
103,interrupt_controller,fatal,1,6,3,4,Cache coherency violation in interrupt_controller,Low
104,alu,error,5,5,1,4,Assertion failure detected in alu,Medium
105,dram_interface,warning,8,1,1,1,Buffer overflow detected in dram_interface,Low
106,pcie,fatal,5,9,3,3,DMA transfer error in pcie,Low
107,memory_controller,warning,5,3,1,3,DMA transfer error in memory_controller,Low
108,memory_controller,warning,4,2,2,3,Assertion failure detected in memory_controller,Low
109,branch_predictor,warning,11,3,4,1,Cache coherency violation in branch_predictor,Low
110,pipeline_controller,warning,4,1,2,3,Invalid memory access violation in pipeline_controller,Low
111,dma,error,10,8,1,4,Pipeline hazard detected in dma,Medium
112,pcie,warning,14,6,4,4,Pipeline hazard detected in pcie,Low
113,memory_controller,warning,10,6,5,4,Assertion failure detected in memory_controller,Low
114,alu,warning,5,9,5,5,Pipeline hazard detected in alu,Low
115,pcie,error,6,2,5,3,Cache coherency violation in pcie,Medium
116,memory_controller,warning,4,8,5,4,Pipeline hazard detected in memory_controller,Low
117,alu,error,2,7,2,1,Branch misprediction detected in alu,Low
118,alu,fatal,11,1,3,4,Assertion failure detected in alu,High
119,dma,fatal,12,1,4,1,Protocol violation detected in dma,High
120,interrupt_controller,fatal,4,9,2,3,Pipeline hazard detected in interrupt_controller,Low
121,interrupt_controller,error,13,6,0,5,Cache coherency violation in interrupt_controller,Medium
122,pcie,error,7,9,4,1,Assertion failure detected in pcie,Medium
123,dma,warning,11,10,5,1,Buffer overflow detected in dma,Low
124,cache_controller,fatal,10,10,1,3,Invalid memory access violation in cache_controller,High
125,uart,fatal,8,1,3,2,Protocol violation detected in uart,Low
126,pcie,fatal,15,8,3,3,Branch misprediction detected in pcie,High
127,memory_controller,warning,0,4,2,2,Branch misprediction detected in memory_controller,Low
128,uart,error,11,6,2,5,Branch misprediction detected in uart,Medium
129,pcie,warning,15,4,5,3,Invalid memory access violation in pcie,Low
130,alu,fatal,8,6,0,5,DMA transfer error in alu,Low
131,pipeline_controller,error,4,10,5,2,DMA transfer error in pipeline_controller,Low
132,memory_controller,error,15,3,4,4,Buffer overflow detected in memory_controller,Medium
133,pipeline_controller,fatal,14,9,0,1,Branch misprediction detected in pipeline_controller,High
134,pcie,fatal,10,3,4,2,Invalid memory access violation in pcie,High
135,interrupt_controller,warning,7,4,1,3,Buffer overflow detected in interrupt_controller,Low
136,branch_predictor,fatal,4,4,1,2,Pipeline hazard detected in branch_predictor,Low
137,branch_predictor,warning,1,9,2,2,Assertion failure detected in branch_predictor,Low
138,interrupt_controller,warning,14,5,3,2,DMA transfer error in interrupt_controller,Low
139,branch_predictor,warning,9,2,1,2,Pipeline hazard detected in branch_predictor,Low
140,branch_predictor,warning,10,3,4,1,Pipeline hazard detected in branch_predictor,Low
141,alu,error,7,2,5,3,Invalid memory access violation in alu,Medium
142,uart,warning,8,10,5,3,DMA transfer error in uart,Low
143,uart,fatal,9,7,2,5,Protocol violation detected in uart,High
144,cache_controller,warning,9,4,1,1,Protocol violation detected in cache_controller,Low
145,branch_predictor,error,11,6,1,1,Protocol violation detected in branch_predictor,Medium
146,interrupt_controller,fatal,6,6,2,4,Buffer overflow detected in interrupt_controller,Low
147,uart,warning,6,3,4,3,Assertion failure detected in uart,Low
148,branch_predictor,fatal,8,5,3,4,Pipeline hazard detected in branch_predictor,Low
149,cache_controller,warning,3,2,5,3,Buffer overflow detected in cache_controller,Low
150,pcie,error,12,4,3,1,Buffer overflow detected in pcie,Medium
151,uart,error,11,3,2,3,Protocol violation detected in uart,Medium
152,dma,warning,5,8,0,5,DMA transfer error in dma,Low
153,pipeline_controller,error,10,4,4,3,Protocol violation detected in pipeline_controller,Medium
154,pcie,warning,15,1,0,3,Pipeline hazard detected in pcie,Low
155,uart,fatal,2,3,3,5,Cache coherency violation in uart,Low
156,branch_predictor,fatal,0,1,2,4,Cache coherency violation in branch_predictor,Low
157,dram_interface,error,0,6,3,5,Branch misprediction detected in dram_interface,Low
158,interrupt_controller,warning,10,2,2,2,Cache coherency violation in interrupt_controller,Low
159,memory_controller,fatal,8,10,2,4,Assertion failure detected in memory_controller,Low
160,pipeline_controller,warning,10,1,1,4,Invalid memory access violation in pipeline_controller,Low
161,interrupt_controller,fatal,4,4,2,3,Buffer overflow detected in interrupt_controller,Low
162,uart,warning,3,8,3,3,DMA transfer error in uart,Low
163,interrupt_controller,warning,11,2,3,5,DMA transfer error in interrupt_controller,Low
164,dram_interface,error,14,2,1,5,DMA transfer error in dram_interface,Medium
165,alu,fatal,15,4,3,5,Assertion failure detected in alu,High
166,pipeline_controller,fatal,12,9,4,2,Pipeline hazard detected in pipeline_controller,High
167,alu,error,5,4,5,3,Assertion failure detected in alu,Medium
168,interrupt_controller,error,10,4,3,5,Assertion failure detected in interrupt_controller,Medium
169,cache_controller,error,2,8,0,1,Branch misprediction detected in cache_controller,Low
170,dram_interface,fatal,7,2,0,1,Cache coherency violation in dram_interface,Low
171,pcie,error,9,1,2,3,Pipeline hazard detected in pcie,Medium
172,uart,warning,14,2,1,1,Pipeline hazard detected in uart,Low
173,memory_controller,warning,7,1,5,3,Assertion failure detected in memory_controller,Low
174,interrupt_controller,warning,13,5,2,4,Branch misprediction detected in interrupt_controller,Low
175,dma,warning,15,10,0,5,Assertion failure detected in dma,Low
176,branch_predictor,error,1,8,5,2,Assertion failure detected in branch_predictor,Low
177,branch_predictor,error,5,5,2,3,Buffer overflow detected in branch_predictor,Medium
178,interrupt_controller,error,13,10,5,5,Invalid memory access violation in interrupt_controller,Medium
179,pcie,fatal,3,10,2,5,DMA transfer error in pcie,Low
180,uart,fatal,7,1,4,3,Branch misprediction detected in uart,Low
181,dram_interface,warning,11,10,1,4,Cache coherency violation in dram_interface,Low
182,alu,warning,0,10,2,2,DMA transfer error in alu,Low
183,interrupt_controller,warning,6,5,2,1,Branch misprediction detected in interrupt_controller,Low
184,cache_controller,error,14,5,3,4,Branch misprediction detected in cache_controller,Medium
185,interrupt_controller,fatal,7,3,1,5,DMA transfer error in interrupt_controller,Low
186,interrupt_controller,error,11,3,1,3,Assertion failure detected in interrupt_controller,Medium
187,alu,fatal,6,5,5,1,DMA transfer error in alu,Low
188,dram_interface,warning,12,4,1,2,Pipeline hazard detected in dram_interface,Low
189,interrupt_controller,warning,11,8,4,3,Cache coherency violation in interrupt_controller,Low
190,pipeline_controller,error,0,4,3,1,Cache coherency violation in pipeline_controller,Low
191,dma,error,8,4,3,2,Protocol violation detected in dma,Medium
192,dma,error,7,9,4,5,Pipeline hazard detected in dma,Medium
193,dram_interface,error,2,5,0,3,Assertion failure detected in dram_interface,Low
194,uart,warning,2,4,5,5,Pipeline hazard detected in uart,Low
195,memory_controller,error,5,1,0,2,Branch misprediction detected in memory_controller,Medium
196,uart,fatal,15,10,2,2,Invalid memory access violation in uart,High
197,dram_interface,fatal,1,9,0,5,DMA transfer error in dram_interface,Low
198,uart,error,10,3,0,1,Branch misprediction detected in uart,Medium
199,memory_controller,error,7,8,1,5,Invalid memory access violation in memory_controller,Medium
200,alu,error,0,7,5,2,Invalid memory access violation in alu,Low
201,cache_controller,error,10,1,5,1,Assertion failure detected in cache_controller,Medium
202,cache_controller,error,13,4,2,4,Branch misprediction detected in cache_controller,Medium
203,cache_controller,warning,0,10,3,2,Pipeline hazard detected in cache_controller,Low
204,cache_controller,warning,3,6,4,5,Branch misprediction detected in cache_controller,Low
205,cache_controller,fatal,0,6,0,4,Assertion failure detected in cache_controller,Low
206,branch_predictor,fatal,7,3,4,3,Cache coherency violation in branch_predictor,Low
207,alu,fatal,7,6,4,3,Cache coherency violation in alu,Low
208,memory_controller,fatal,2,4,0,5,DMA transfer error in memory_controller,Low
209,dma,fatal,3,6,1,5,Branch misprediction detected in dma,Low
210,uart,warning,3,4,4,2,Assertion failure detected in uart,Low
211,pipeline_controller,warning,15,8,3,3,Pipeline hazard detected in pipeline_controller,Low
212,pipeline_controller,fatal,15,9,0,3,Buffer overflow detected in pipeline_controller,High
213,alu,fatal,0,2,2,4,Buffer overflow detected in alu,Low
214,uart,fatal,15,7,3,2,Buffer overflow detected in uart,High
215,pcie,warning,7,8,3,2,Buffer overflow detected in pcie,Low
216,pcie,warning,2,7,3,3,Protocol violation detected in pcie,Low
217,uart,error,0,6,1,1,Branch misprediction detected in uart,Low
218,dram_interface,fatal,7,7,1,5,Buffer overflow detected in dram_interface,Low
219,dram_interface,error,6,5,4,1,Protocol violation detected in dram_interface,Medium
220,uart,error,2,6,0,4,Assertion failure detected in uart,Low
221,pcie,error,6,3,5,5,Branch misprediction detected in pcie,Medium
222,branch_predictor,warning,14,6,2,4,Cache coherency violation in branch_predictor,Low
223,cache_controller,error,2,5,5,2,Protocol violation detected in cache_controller,Low
224,pcie,warning,2,4,1,1,DMA transfer error in pcie,Low
225,pcie,warning,6,9,4,1,Buffer overflow detected in pcie,Low
226,pcie,warning,4,6,3,2,Buffer overflow detected in pcie,Low
227,alu,error,7,5,4,2,Invalid memory access violation in alu,Medium
228,dma,error,8,5,4,5,Protocol violation detected in dma,Medium
229,alu,error,10,2,0,1,Cache coherency violation in alu,Medium
230,interrupt_controller,error,7,8,0,5,Assertion failure detected in interrupt_controller,Medium
231,dma,error,3,9,3,3,Protocol violation detected in dma,Low
232,interrupt_controller,error,9,6,4,4,DMA transfer error in interrupt_controller,Medium
233,pipeline_controller,fatal,3,2,0,2,Assertion failure detected in pipeline_controller,Low
234,dma,error,10,10,5,2,Buffer overflow detected in dma,Medium
235,dram_interface,warning,7,1,3,3,Buffer overflow detected in dram_interface,Low
236,interrupt_controller,warning,15,5,0,1,Invalid memory access violation in interrupt_controller,Low
237,pipeline_controller,fatal,2,7,5,5,Assertion failure detected in pipeline_controller,Low
238,memory_controller,fatal,14,10,5,5,Cache coherency violation in memory_controller,High
239,memory_controller,warning,15,1,1,2,Branch misprediction detected in memory_controller,Low
240,pipeline_controller,warning,1,3,2,4,Buffer overflow detected in pipeline_controller,Low
241,pipeline_controller,error,3,2,0,2,Pipeline hazard detected in pipeline_controller,Low
242,interrupt_controller,error,3,4,2,3,Pipeline hazard detected in interrupt_controller,Low
243,uart,error,12,6,3,1,Pipeline hazard detected in uart,Medium
244,pipeline_controller,warning,11,4,1,4,Invalid memory access violation in pipeline_controller,Low
245,uart,error,13,4,0,1,Branch misprediction detected in uart,Medium
246,dram_interface,fatal,12,10,2,4,Protocol violation detected in dram_interface,High
247,uart,error,13,10,3,3,Pipeline hazard detected in uart,Medium
248,alu,warning,2,1,4,5,Branch misprediction detected in alu,Low
249,branch_predictor,warning,4,6,2,3,Assertion failure detected in branch_predictor,Low
250,pcie,fatal,2,9,5,3,Protocol violation detected in pcie,Low
251,alu,error,5,10,3,3,DMA transfer error in alu,Medium
252,cache_controller,fatal,10,7,2,2,Cache coherency violation in cache_controller,High
253,dma,warning,10,5,3,1,Invalid memory access violation in dma,Low
254,alu,warning,11,1,1,5,Protocol violation detected in alu,Low
255,uart,error,15,6,0,5,Assertion failure detected in uart,Medium
256,pcie,error,5,6,0,1,Assertion failure detected in pcie,Medium
257,memory_controller,error,3,7,0,3,Invalid memory access violation in memory_controller,Low
258,dram_interface,warning,6,9,4,4,Pipeline hazard detected in dram_interface,Low
259,dram_interface,warning,5,5,3,2,Pipeline hazard detected in dram_interface,Low
260,uart,error,14,3,1,1,Pipeline hazard detected in uart,Medium
261,dram_interface,error,1,4,1,3,Branch misprediction detected in dram_interface,Low
262,alu,warning,6,3,1,3,Cache coherency violation in alu,Low
263,memory_controller,error,15,6,0,5,Assertion failure detected in memory_controller,Medium
264,dma,warning,8,8,2,2,Invalid memory access violation in dma,Low
265,dram_interface,fatal,1,6,2,1,DMA transfer error in dram_interface,Low
266,interrupt_controller,fatal,11,4,0,4,Buffer overflow detected in interrupt_controller,High
267,cache_controller,fatal,15,6,2,4,Pipeline hazard detected in cache_controller,High
268,pcie,error,14,3,1,5,Protocol violation detected in pcie,Medium
269,pcie,fatal,7,7,3,5,Pipeline hazard detected in pcie,Low
270,uart,error,0,4,3,5,Cache coherency violation in uart,Low
271,alu,warning,10,6,5,1,Invalid memory access violation in alu,Low
272,memory_controller,error,10,5,5,3,Protocol violation detected in memory_controller,Medium
273,dram_interface,error,9,6,3,5,Assertion failure detected in dram_interface,Medium
274,interrupt_controller,fatal,6,9,2,5,DMA transfer error in interrupt_controller,Low
275,pcie,warning,13,9,0,2,Cache coherency violation in pcie,Low
276,pipeline_controller,warning,1,6,3,2,Invalid memory access violation in pipeline_controller,Low
277,dma,error,6,1,2,1,DMA transfer error in dma,Medium
278,dma,error,11,10,0,5,Branch misprediction detected in dma,Medium
279,cache_controller,warning,15,4,3,5,Assertion failure detected in cache_controller,Low
280,branch_predictor,error,15,4,5,3,Pipeline hazard detected in branch_predictor,Medium
281,uart,fatal,8,2,2,5,Cache coherency violation in uart,Low
282,alu,warning,14,1,0,5,Pipeline hazard detected in alu,Low
283,memory_controller,fatal,10,10,1,1,Assertion failure detected in memory_controller,High
284,memory_controller,warning,12,10,1,1,DMA transfer error in memory_controller,Low
285,interrupt_controller,warning,11,3,5,2,Pipeline hazard detected in interrupt_controller,Low
286,alu,warning,9,1,5,2,Buffer overflow detected in alu,Low
287,alu,warning,11,5,0,5,DMA transfer error in alu,Low
288,cache_controller,error,14,6,4,3,DMA transfer error in cache_controller,Medium
289,interrupt_controller,fatal,3,9,1,2,Assertion failure detected in interrupt_controller,Low
290,interrupt_controller,fatal,2,10,3,1,Invalid memory access violation in interrupt_controller,Low
291,dram_interface,error,7,5,5,3,Invalid memory access violation in dram_interface,Medium
292,alu,warning,4,2,3,3,Cache coherency violation in alu,Low
293,pcie,warning,13,2,2,3,DMA transfer error in pcie,Low
294,interrupt_controller,error,14,6,4,5,Cache coherency violation in interrupt_controller,Medium
295,alu,error,1,2,5,4,Buffer overflow detected in alu,Low
296,alu,warning,3,8,3,5,Buffer overflow detected in alu,Low
297,branch_predictor,error,1,1,3,1,Buffer overflow detected in branch_predictor,Low
298,uart,error,15,2,4,4,Invalid memory access violation in uart,Medium
299,alu,warning,1,10,2,1,Invalid memory access violation in alu,Low
300,pipeline_controller,warning,9,7,4,2,Cache coherency violation in pipeline_controller,Low
301,memory_controller,fatal,15,10,4,1,DMA transfer error in memory_controller,High
302,dma,fatal,10,10,4,2,Protocol violation detected in dma,High
303,uart,error,3,6,5,1,Cache coherency violation in uart,Low
304,pipeline_controller,warning,1,8,2,3,DMA transfer error in pipeline_controller,Low
305,branch_predictor,fatal,7,7,1,3,Pipeline hazard detected in branch_predictor,Low
306,pipeline_controller,fatal,7,3,2,1,Pipeline hazard detected in pipeline_controller,Low
307,branch_predictor,fatal,8,6,3,4,Invalid memory access violation in branch_predictor,Low
308,dma,fatal,3,3,1,5,Assertion failure detected in dma,Low
309,dram_interface,fatal,0,3,4,2,Protocol violation detected in dram_interface,Low
310,pcie,fatal,10,3,4,4,Assertion failure detected in pcie,High
311,interrupt_controller,error,10,9,0,5,DMA transfer error in interrupt_controller,Medium
312,branch_predictor,warning,4,8,5,5,DMA transfer error in branch_predictor,Low
313,alu,fatal,9,4,0,4,Invalid memory access violation in alu,High
314,pcie,fatal,1,1,1,4,Assertion failure detected in pcie,Low
315,pipeline_controller,error,12,5,2,4,Invalid memory access violation in pipeline_controller,Medium
316,pipeline_controller,error,10,5,0,5,Pipeline hazard detected in pipeline_controller,Medium
317,dram_interface,warning,2,6,3,4,Pipeline hazard detected in dram_interface,Low
318,branch_predictor,error,14,10,4,2,Protocol violation detected in branch_predictor,Medium
319,dma,warning,0,4,3,4,Assertion failure detected in dma,Low
320,dma,fatal,1,3,4,4,Cache coherency violation in dma,Low
321,pcie,error,1,4,1,5,DMA transfer error in pcie,Low
322,interrupt_controller,warning,6,10,0,2,Protocol violation detected in interrupt_controller,Low
323,pipeline_controller,error,4,3,2,1,Pipeline hazard detected in pipeline_controller,Low
324,dma,fatal,15,6,0,4,Protocol violation detected in dma,High
325,pipeline_controller,warning,2,8,4,5,Invalid memory access violation in pipeline_controller,Low
326,uart,error,1,3,3,5,Cache coherency violation in uart,Low
327,memory_controller,fatal,6,8,4,4,Branch misprediction detected in memory_controller,Low
328,memory_controller,warning,4,8,0,3,DMA transfer error in memory_controller,Low
329,branch_predictor,fatal,15,9,2,3,Buffer overflow detected in branch_predictor,High
330,memory_controller,fatal,5,2,4,5,Cache coherency violation in memory_controller,Low
331,dma,error,11,9,3,3,Cache coherency violation in dma,Medium
332,pcie,fatal,3,9,5,2,DMA transfer error in pcie,Low
333,memory_controller,warning,11,8,2,3,Cache coherency violation in memory_controller,Low
334,memory_controller,warning,7,9,4,5,DMA transfer error in memory_controller,Low
335,memory_controller,warning,5,10,0,5,Branch misprediction detected in memory_controller,Low
336,memory_controller,error,9,3,5,2,DMA transfer error in memory_controller,Medium
337,dram_interface,error,1,5,3,4,Buffer overflow detected in dram_interface,Low
338,alu,error,11,3,5,3,Invalid memory access violation in alu,Medium
339,dma,error,0,7,5,4,Pipeline hazard detected in dma,Low
340,dma,error,4,3,4,5,Assertion failure detected in dma,Low
341,dram_interface,warning,4,4,3,4,Buffer overflow detected in dram_interface,Low
342,interrupt_controller,error,12,6,4,4,Cache coherency violation in interrupt_controller,Medium
343,pcie,warning,2,2,4,4,Assertion failure detected in pcie,Low
344,branch_predictor,error,3,3,3,4,Assertion failure detected in branch_predictor,Low
345,memory_controller,warning,2,3,1,5,Pipeline hazard detected in memory_controller,Low
346,dram_interface,fatal,8,6,2,2,Assertion failure detected in dram_interface,Low
347,cache_controller,warning,14,7,3,4,DMA transfer error in cache_controller,Low
348,cache_controller,error,3,10,0,3,Invalid memory access violation in cache_controller,Low
349,uart,warning,11,7,0,2,Cache coherency violation in uart,Low
350,pipeline_controller,fatal,10,4,4,4,Assertion failure detected in pipeline_controller,High
351,dma,warning,5,1,0,3,Cache coherency violation in dma,Low
352,pipeline_controller,fatal,2,1,2,3,Protocol violation detected in pipeline_controller,Low
353,alu,error,6,8,4,4,Assertion failure detected in alu,Medium
354,pcie,warning,4,8,1,1,Pipeline hazard detected in pcie,Low
355,pcie,warning,1,1,4,2,Cache coherency violation in pcie,Low
356,branch_predictor,fatal,9,9,0,2,Invalid memory access violation in branch_predictor,High
357,interrupt_controller,warning,1,9,5,5,DMA transfer error in interrupt_controller,Low
358,uart,warning,5,7,4,4,Branch misprediction detected in uart,Low
359,dram_interface,fatal,14,4,2,5,Pipeline hazard detected in dram_interface,High
360,uart,error,13,10,3,4,DMA transfer error in uart,Medium
361,pcie,error,12,5,1,4,Buffer overflow detected in pcie,Medium
362,dram_interface,fatal,3,7,4,3,Branch misprediction detected in dram_interface,Low
363,alu,warning,14,7,2,1,DMA transfer error in alu,Low
364,interrupt_controller,error,3,5,0,1,Buffer overflow detected in interrupt_controller,Low
365,alu,error,4,6,4,5,Protocol violation detected in alu,Low
366,pcie,error,6,8,3,4,Buffer overflow detected in pcie,Medium
367,pipeline_controller,fatal,11,4,4,1,Branch misprediction detected in pipeline_controller,High
368,alu,warning,2,7,5,1,Assertion failure detected in alu,Low
369,alu,error,5,2,4,5,Invalid memory access violation in alu,Medium
370,cache_controller,error,12,4,1,1,Cache coherency violation in cache_controller,Medium
371,pcie,warning,2,7,0,5,Pipeline hazard detected in pcie,Low
372,interrupt_controller,fatal,10,9,3,1,Buffer overflow detected in interrupt_controller,High
373,cache_controller,error,0,8,5,1,Branch misprediction detected in cache_controller,Low
374,alu,error,2,9,5,2,Protocol violation detected in alu,Low
375,memory_controller,error,4,10,4,5,Assertion failure detected in memory_controller,Low
376,uart,fatal,10,1,1,2,Protocol violation detected in uart,High
377,pipeline_controller,fatal,3,7,2,1,Pipeline hazard detected in pipeline_controller,Low
378,interrupt_controller,error,11,6,4,1,Cache coherency violation in interrupt_controller,Medium
379,uart,fatal,1,1,0,5,DMA transfer error in uart,Low
380,dma,error,6,1,1,4,Pipeline hazard detected in dma,Medium
381,uart,error,1,7,0,4,Protocol violation detected in uart,Low
382,memory_controller,warning,4,4,2,4,Pipeline hazard detected in memory_controller,Low
383,memory_controller,warning,13,2,0,2,Protocol violation detected in memory_controller,Low
384,branch_predictor,error,10,3,0,5,Pipeline hazard detected in branch_predictor,Medium
385,alu,fatal,12,8,3,3,Invalid memory access violation in alu,High
